user_id,faculty,role,material_title,material_type,action,action_date,duration_min,rating
U1000,ФКБ,студент,Big Data Systems,практикум,перерва,2025-10-12,12.4,1
U1001,ФЕП,студент,Digital Logic,стаття,початок,2025-01-21,2.8,1
U1002,ФКБ,викладач,Algorithms and Structures,стаття,перерва,2025-05-12,9.5,3
U1003,ФКБ,викладач,Cybersecurity 101,практикум,початок,2025-01-27,2.3,2
U1004,ФИС,викладач,ML Intro,стаття,завершення,2025-08-08,10.7,4
U1005,ФИТ,студент,Python Basics,підручник,початок,2025-03-30,12.8,4
U1006,ФИС,викладач,Cybersecurity 101,електронна книга,початок,2025-11-13,4.3,2
U1007,ФЕН,студент,Python Basics,практикум,пошук,2025-09-17,7.8,1
U1008,ФИТ,студент,ML Intro,підручник,пошук,2025-10-27,10.3,4
U1009,ФКБ,студент,Database Design,підручник,читання,2025-10-07,2.6,5
U1010,ФЕП,викладач,Python Basics,відеолекція,початок,2025-03-20,0.6,3
U1011,ФКБ,викладач,Big Data Systems,відеолекція,читання,2025-06-02,11.3,2
U1012,ФИТ,студент,Python Basics,електронна книга,пошук,2025-04-30,5.1,2
U1013,ФИС,викладач,Database Design,стаття,перерва,2025-05-29,14.7,3
U1014,ФИТ,студент,Data Science Guide,практикум,завершення,2025-07-21,3.3,4
U1015,ФЕП,студент,Digital Logic,практикум,перерва,2025-09-06,12.2,5
U1016,ФКБ,викладач,Data Science Guide,стаття,завершення,2025-07-10,10.3,5
U1017,ФКБ,викладач,Big Data Systems,відеолекція,читання,2025-07-17,13.0,2
U1018,ФЕП,студент,Big Data Systems,електронна книга,завершення,2025-10-18,3.8,3
U1019,ФЕП,викладач,ML Intro,відеолекція,початок,2025-11-24,9.2,3
U1020,ФКБ,викладач,ML Intro,електронна книга,завершення,2025-09-19,0.6,2
U1021,ФИТ,студент,Big Data Systems,стаття,читання,2025-02-08,5.5,2
U1022,ФЕП,викладач,Data Science Guide,відеолекція,початок,2025-08-01,1.6,2
U1023,ФЕН,викладач,Database Design,стаття,пошук,2025-09-28,3.2,4
U1024,ФЕН,студент,Data Science Guide,відеолекція,завершення,2025-11-25,5.3,1
U1025,ФИТ,викладач,Database Design,підручник,початок,2025-11-10,12.9,4
U1026,ФИС,викладач,Data Science Guide,практикум,читання,2025-07-29,10.7,1
U1027,ФИС,викладач,Algorithms and Structures,відеолекція,початок,2025-03-16,5.8,4
